category_name;product_name;product_short_description;product_type;phase_name;visibility;product_website_url;product_documentation_url;public_network;private_network;code_automation;hardware_tenancy;order_possibility;billing_mode;datacenter_avail_bhs;datacenter_avail_gra;datacenter_avail_de;datacenter_avail_rbx;datacenter_avail_sbg;datacenter_avail_waw;datacenter_avail_uk;datacenter_avail_sgp;datacenter_avail_syd;datacenter_avail_hil;datacenter_avail_vin;certif_iso_27001;certif_hds;certif_hipaa;certif_pci_dss;certif_snc;certif_soc1;certif_soc2;universe_baremetal_cloud;universe_private_cloud;universe_public_cloud;universe_web_cloud
backup;Veeam Enterprise for VMware HPC;Enterprise Plus Licence for the Veeam Backup&Replication software;paas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/storage-solutions/veeam-enterprise/;https://docs.ovh.com/gb/en/storage/veeam-backup-replication/;public_ipv4;private_ipv4;FALSE;single_tenant;worldwide;pay_go;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;TRUE;TRUE;;;TRUE;FALSE;FALSE;FALSE
backup;Veeam Managed Backup for VMware HPC;Managed Backup service for VMware virtual machines with Veeam;paas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/enterprise/products/hosted-private-cloud/veeam-backup-managed/;https://docs.ovh.com/gb/en/private-cloud/veeam-backup-as-a-service/;public_ipv4;private_ipv4;FALSE;single_tenant;worldwide;pay_go;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;TRUE;TRUE;;;FALSE;TRUE;FALSE;FALSE
backup;Zerto DRP for VMware HPC;Disaster Recovery solution for VMware infrastructure with Zerto;paas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/enterprise/products/hosted-private-cloud/zerto/;https://docs.ovh.com/gb/en/private-cloud/zerto-virtual-replication-vmware-vsphere-drp/;public_ipv4;private_ipv4;FALSE;single_tenant;worldwide;pay_go;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;TRUE;TRUE;;;FALSE;TRUE;FALSE;FALSE
collab;Collaborative Tools;Microsoft 365 and Sharepoint as a Service;saas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/collaborative-tools/;https://docs.ovh.com/gb/en/microsoft-collaborative-solutions/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;prepaid;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;FALSE;FALSE;FALSE;TRUE
collab;Emails Solutions;Range of business email services;saas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/emails/;https://docs.ovh.com/gb/en/emails-pro/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;prepaid;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;FALSE;FALSE;FALSE;TRUE
collab;Visibility Pro;Tools to improve your natural SEO;paas;general_avail;TRUE;https://www.ovhcloud.com/fr/web-hosting/options/pro-visibility/;https://docs.ovh.com/fr/hosting/premiers-pas-avec-visibilite-pro/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;prepaid;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;FALSE;FALSE;FALSE;TRUE
compute;Dedicated servers;Physical and dedicated servers;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/bare-metal/;https://docs.ovh.com/gb/en/dedicated/;public_ipv4 public_ipv6;private_ipv4 private_ipv6;TRUE;single_tenant;worldwide;prepaid;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;;FALSE;FALSE;;;TRUE;FALSE;FALSE;FALSE
compute;Hosted Private Cloud for VMware;Managed VMware cluster as a Service;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/managed-bare-metal/;https://docs.ovh.com/gb/en/private-cloud/;public_ipv4;private_ipv4;TRUE;single_tenant;worldwide;prepaid;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;TRUE;TRUE;;;TRUE;FALSE;FALSE;FALSE
compute;Hosted Private Cloud for Vmware HCI;Managed VMware cluster as a Service with vSAN storage;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/enterprise/products/hosted-private-cloud/;https://docs.ovh.com/gb/en/private-cloud/;public_ipv4;private_ipv4;TRUE;single_tenant;worldwide;prepaid;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;TRUE;TRUE;;;FALSE;TRUE;FALSE;FALSE
compute;Hosted Private Cloud for Anthos;Google Anthos private clusters;caas;phase_out;TRUE;https://www.ovhcloud.com/en-ie/hosted-private-cloud/anthos/;https://docs.ovh.com/gb/en/hosted-private-cloud-anthos/;public_ipv4;private_ipv4;TRUE;single_tenant;worldwide_except_us;prepaid;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;FALSE;TRUE;FALSE;FALSE
